DateTime,Load (kW)
2/25/2017 20:00,0.41725
2/25/2017 21:00,0.462
2/25/2017 22:00,0.40375
2/25/2017 23:00,0.4305
2/26/2017 0:00,0.43725
2/26/2017 1:00,0.42475
2/26/2017 2:00,0.45325
2/26/2017 3:00,0.51625
2/26/2017 4:00,0.43475
2/26/2017 5:00,0.4615
2/26/2017 6:00,0.4765
2/26/2017 7:00,3.53075
2/26/2017 8:00,4.24275
2/26/2017 9:00,6.06975
2/26/2017 10:00,7.32925
2/26/2017 11:00,7.249
2/26/2017 12:00,2.04125
2/26/2017 13:00,1.14275
2/26/2017 14:00,0.819
2/26/2017 15:00,3.7925
2/26/2017 16:00,2.51925
2/26/2017 17:00,3.65775
2/26/2017 18:00,1.035
2/26/2017 19:00,0.67675
2/26/2017 20:00,0.7355
2/26/2017 21:00,0.727
2/26/2017 22:00,0.50175
2/26/2017 23:00,0.481
2/27/2017 0:00,0.54625
2/27/2017 1:00,0.5055
2/27/2017 2:00,0.441
2/27/2017 3:00,0.496
2/27/2017 4:00,0.44425
2/27/2017 5:00,0.454
2/27/2017 6:00,0.52925
2/27/2017 7:00,0.92025
2/27/2017 8:00,1.01875
2/27/2017 9:00,1.12725
2/27/2017 10:00,2.65875
2/27/2017 11:00,2.66175
2/27/2017 12:00,1.01325
2/27/2017 13:00,0.98625
2/27/2017 14:00,0.79225
2/27/2017 15:00,0.878
2/27/2017 16:00,0.947
2/27/2017 17:00,1.02975
2/27/2017 18:00,0.917
2/27/2017 19:00,0.839
2/27/2017 20:00,0.74725
2/27/2017 21:00,0.837
2/27/2017 22:00,0.57175
2/27/2017 23:00,0.52025
2/28/2017 0:00,0.4495
2/28/2017 1:00,0.47825
2/28/2017 2:00,0.45175
2/28/2017 3:00,0.4375
2/28/2017 4:00,0.496
2/28/2017 5:00,0.42825
2/28/2017 6:00,0.518
2/28/2017 7:00,0.87825
2/28/2017 8:00,0.76575
2/28/2017 9:00,0.98075
2/28/2017 10:00,3.11425
2/28/2017 11:00,3.929
2/28/2017 12:00,1.169
2/28/2017 13:00,0.8955
2/28/2017 14:00,0.993
2/28/2017 15:00,2.078
2/28/2017 16:00,4.36225
2/28/2017 17:00,2.434
2/28/2017 18:00,2.463
2/28/2017 19:00,0.80125
2/28/2017 20:00,0.6685
2/28/2017 21:00,0.7495
2/28/2017 22:00,0.583
2/28/2017 23:00,0.555
3/1/2017 0:00,0.4665
3/1/2017 1:00,0.4425
3/1/2017 2:00,0.445
3/1/2017 3:00,0.42175
3/1/2017 4:00,0.47875
3/1/2017 5:00,0.411
3/1/2017 6:00,0.51175
3/1/2017 7:00,0.88975
3/1/2017 8:00,0.88875
3/1/2017 9:00,0.9495
3/1/2017 10:00,2.267
3/1/2017 11:00,2.8875
3/1/2017 12:00,1.53275
3/1/2017 13:00,3.51575
3/1/2017 14:00,1.70825
3/1/2017 15:00,1.69575
3/1/2017 16:00,1.69175
3/1/2017 17:00,1.33375
3/1/2017 18:00,1.34425
3/1/2017 19:00,1.195
3/1/2017 20:00,1.4095
3/1/2017 21:00,1.439
3/1/2017 22:00,0.88575
3/1/2017 23:00,0.8295
3/2/2017 0:00,0.91025
3/2/2017 1:00,0.85125
3/2/2017 2:00,0.80275
3/2/2017 3:00,0.836
3/2/2017 4:00,0.783
3/2/2017 5:00,0.831
3/2/2017 6:00,0.86525
3/2/2017 7:00,1.6105
3/2/2017 8:00,1.76725
3/2/2017 9:00,4.06
3/2/2017 10:00,4.42825
3/2/2017 11:00,4.247
3/2/2017 12:00,1.88375
3/2/2017 13:00,1.371
3/2/2017 14:00,1.402
3/2/2017 15:00,1.37925
3/2/2017 16:00,1.39825
3/2/2017 17:00,1.758
3/2/2017 18:00,1.4565
3/2/2017 19:00,1.02525
3/2/2017 20:00,1.1495
3/2/2017 21:00,1.0405
3/2/2017 22:00,0.86125
3/2/2017 23:00,0.80825
3/3/2017 0:00,0.93125
3/3/2017 1:00,0.8155
3/3/2017 2:00,0.7905
3/3/2017 3:00,0.838
3/3/2017 4:00,1.06925
3/3/2017 5:00,1.0875
3/3/2017 6:00,1.632
3/3/2017 7:00,2.34875
3/3/2017 8:00,2.56775
3/3/2017 9:00,1.87025
3/3/2017 10:00,3.14775
3/3/2017 11:00,4.56825
3/3/2017 12:00,3.462
3/3/2017 13:00,2.81075
3/3/2017 14:00,1.2805
3/3/2017 15:00,1.47625
3/3/2017 16:00,1.863
3/3/2017 17:00,2.0325
3/3/2017 18:00,1.469
3/3/2017 19:00,1.155
3/3/2017 20:00,1.14725
3/3/2017 21:00,1.081
3/3/2017 22:00,0.909
3/3/2017 23:00,0.8095
3/4/2017 0:00,0.826
3/4/2017 1:00,0.81075
3/4/2017 2:00,0.8015
3/4/2017 3:00,0.84275
3/4/2017 4:00,0.769
3/4/2017 5:00,0.80825
3/4/2017 6:00,0.8395
3/4/2017 7:00,3.296
3/4/2017 8:00,2.94525
3/4/2017 9:00,2.51125
3/4/2017 10:00,3.62325
3/4/2017 11:00,3.417
3/4/2017 12:00,1.34
3/4/2017 13:00,2.16875
3/4/2017 14:00,1.035
3/4/2017 15:00,2.22225
3/4/2017 16:00,1.93275
3/4/2017 17:00,1.80775
3/4/2017 18:00,1.72925
3/4/2017 19:00,1.8255
3/4/2017 20:00,1.6555
3/4/2017 21:00,1.05325
3/4/2017 22:00,0.606
3/4/2017 23:00,0.4745
3/5/2017 0:00,0.4535
3/5/2017 1:00,0.46075
3/5/2017 2:00,0.4515
3/5/2017 3:00,0.471
3/5/2017 4:00,0.44325
3/5/2017 5:00,0.451
3/5/2017 6:00,0.69075
3/5/2017 7:00,1.44025
3/5/2017 8:00,1.24425
3/5/2017 9:00,3.4575
3/5/2017 10:00,2.7775
3/5/2017 11:00,4.68375
3/5/2017 12:00,0.983
3/5/2017 13:00,0.74475
3/5/2017 14:00,0.921
3/5/2017 15:00,0.89425
3/5/2017 16:00,0.9395
3/5/2017 17:00,2.8245
3/5/2017 18:00,2.62925
3/5/2017 19:00,0.741
3/5/2017 20:00,0.76075
3/5/2017 21:00,0.73825
3/5/2017 22:00,0.5175
3/5/2017 23:00,0.53875
3/6/2017 0:00,0.506
3/6/2017 1:00,0.5075
3/6/2017 2:00,0.47125
3/6/2017 3:00,0.49575
3/6/2017 4:00,0.445
3/6/2017 5:00,0.4505
3/6/2017 6:00,0.54025
3/6/2017 7:00,0.8595
3/6/2017 8:00,1.105
3/6/2017 9:00,1.059
3/6/2017 10:00,3.3485
3/6/2017 11:00,3.8
3/6/2017 12:00,1.5785
3/6/2017 13:00,0.68675
3/6/2017 14:00,0.6115
3/6/2017 15:00,1.1475
3/6/2017 16:00,1.2985
3/6/2017 17:00,2.455
3/6/2017 18:00,0.94075
3/6/2017 19:00,2.9065
3/6/2017 20:00,0.7685
3/6/2017 21:00,0.83075
3/6/2017 22:00,0.51425
3/6/2017 23:00,0.528
3/7/2017 0:00,0.473
3/7/2017 1:00,0.497
3/7/2017 2:00,0.50625
3/7/2017 3:00,0.4895
3/7/2017 4:00,0.50325
3/7/2017 5:00,0.455
3/7/2017 6:00,0.55825
3/7/2017 7:00,0.8575
3/7/2017 8:00,0.94925
3/7/2017 9:00,2.05975
3/7/2017 10:00,3.9875
3/7/2017 11:00,4.5875
3/7/2017 12:00,0.97825
3/7/2017 13:00,1.02925
3/7/2017 14:00,0.89075
3/7/2017 15:00,0.9705
3/7/2017 16:00,0.99125
3/7/2017 17:00,3.46775
3/7/2017 18:00,1.2805
3/7/2017 19:00,1.52325
3/7/2017 20:00,1.4025
3/7/2017 21:00,1.21025
3/7/2017 22:00,1.1575
3/7/2017 23:00,0.52225
3/8/2017 0:00,0.5
3/8/2017 1:00,0.4735
3/8/2017 2:00,0.516
3/8/2017 3:00,0.46025
3/8/2017 4:00,0.50175
3/8/2017 5:00,0.45925
3/8/2017 6:00,0.5605
3/8/2017 7:00,0.893
3/8/2017 8:00,1.28525
3/8/2017 9:00,2.0795
3/8/2017 10:00,3.46075
3/8/2017 11:00,2.43375
3/8/2017 12:00,0.924
3/8/2017 13:00,0.85975
3/8/2017 14:00,0.711
3/8/2017 15:00,1.49225
3/8/2017 16:00,2.71825
3/8/2017 17:00,1.07325
3/8/2017 18:00,1.03475
3/8/2017 19:00,0.75675
3/8/2017 20:00,2.01375
3/8/2017 21:00,0.756
3/8/2017 22:00,0.531
3/8/2017 23:00,0.53225
3/9/2017 0:00,0.47125
3/9/2017 1:00,0.50375
3/9/2017 2:00,0.469
3/9/2017 3:00,0.47825
3/9/2017 4:00,0.53075
3/9/2017 5:00,0.537
3/9/2017 6:00,0.61175
3/9/2017 7:00,0.98375
3/9/2017 8:00,0.985
3/9/2017 9:00,1.0275
3/9/2017 10:00,2.183
3/9/2017 11:00,2.4495
3/9/2017 12:00,0.844
3/9/2017 13:00,0.84075
3/9/2017 14:00,0.981
3/9/2017 15:00,1.03125
3/9/2017 16:00,1.1225
3/9/2017 17:00,1.16425
3/9/2017 18:00,2.671
3/9/2017 19:00,0.794
3/9/2017 20:00,0.83125
3/9/2017 21:00,0.822
3/9/2017 22:00,0.58375
3/9/2017 23:00,0.5625
3/10/2017 0:00,0.55
3/10/2017 1:00,0.48475
3/10/2017 2:00,0.494
3/10/2017 3:00,0.503
3/10/2017 4:00,0.4755
3/10/2017 5:00,0.492
3/10/2017 6:00,0.4995
3/10/2017 7:00,1.1625
3/10/2017 8:00,1.10175
3/10/2017 9:00,1.14325
3/10/2017 10:00,3.32575
3/10/2017 11:00,2.50175
3/10/2017 12:00,0.74325
3/10/2017 13:00,0.7515
3/10/2017 14:00,0.72425
3/10/2017 15:00,0.66
3/10/2017 16:00,0.7875
3/10/2017 17:00,0.663
3/10/2017 18:00,0.63575
3/10/2017 19:00,0.47575
3/10/2017 20:00,0.4895
3/10/2017 21:00,0.506
3/10/2017 22:00,0.506
3/10/2017 23:00,0.56425
3/11/2017 0:00,0.52625
3/11/2017 1:00,0.55025
3/11/2017 2:00,0.52375
3/11/2017 3:00,0.522
3/11/2017 4:00,0.519
3/11/2017 5:00,0.5275
3/11/2017 6:00,0.61075
3/11/2017 7:00,0.698
3/11/2017 8:00,0.78125
3/11/2017 9:00,1.025
